date,value
2000-01-01,0.23294586274945045
2000-02-01,0.23294586274945045
2000-03-01,0.23294586274945045
2000-04-01,0.23294586274945045
2000-05-01,0.23294586274945045
2000-06-01,0.23294586274945045
2000-07-01,0.23294586274945045
2000-08-01,0.23294586274945045
2000-09-01,0.23294586274945045
2000-10-01,0.23294586274945045
2000-11-01,0.23294586274945045
2000-12-01,0.23294586274945045
2001-01-01,0.23294586274945045
2001-02-01,0.2298560154759231
2001-03-01,0.226771712089217
2001-04-01,0.2236930069411637
2001-05-01,0.22061984567993162
2001-06-01,0.2175521739536892
2001-07-01,0.21449004611426797
2001-08-01,0.211433462161668
2001-09-01,0.20838231339222607
2001-10-01,0.2053367085096054
2001-11-01,0.19485805584368066
2001-12-01,0.1843982089114828
2002-01-01,0.1962329397753443
2002-02-01,0.1974624325575298
2002-03-01,0.19869111006224155
2002-04-01,0.19991891793764802
2002-05-01,0.2011458561837492
2002-06-01,0.20237203350420824
2002-07-01,0.203597341195362
2002-08-01,0.20482177925721048
2002-09-01,0.20604540204158522
2002-10-01,0.2072682095484863
2002-11-01,0.23231081594926234
2002-12-01,0.25740462177538737
2003-01-01,0.26824139865959684
2003-02-01,0.27988975709296837
2003-03-01,0.29152496238309733
2003-04-01,0.3031470145299838
2003-05-01,0.3147559135336278
2003-06-01,0.3263516593940292
2003-07-01,0.33793430646301975
2003-08-01,0.3495039090924309
2003-09-01,0.3610604129304312
2003-10-01,0.37260387232885206
2003-11-01,0.34715764922675824
2003-12-01,0.3218910045762068
2004-01-01,0.2884398980707491
2004-02-01,0.2887386157371163
2004-03-01,0.28903575720036756
2004-04-01,0.2893313224605031
2004-05-01,0.2896253115175227
2004-06-01,0.2899177243714265
2004-07-01,0.290208615374046
2004-08-01,0.2904980388772129
2004-09-01,0.2907858861772639
2004-10-01,0.2910722116260307
2004-11-01,0.3071728546951612
2004-12-01,0.32330513053027166
2005-01-01,0.38218169773815935
2005-02-01,0.38102346020717615
2005-03-01,0.3798715274886562
2005-04-01,0.3787257908789365
2005-05-01,0.37758625037801696
2005-06-01,0.37645285163406605
2005-07-01,0.37532554029525217
2005-08-01,0.37420426200974377
2005-09-01,0.3730889624257092
2005-10-01,0.37197964154314844
2005-11-01,0.38720402438353607
2005-12-01,0.40237025076413235
2006-01-01,0.38478308510127157
2006-02-01,0.4007797531165883
2006-03-01,0.4166961434766605
2006-04-01,0.43253279969980396
2006-05-01,0.44829037400799754
2006-06-01,0.46396946427138863
2006-07-01,0.47957055965646156
2006-08-01,0.4950943667370269
2006-09-01,0.5105413203277371
2006-10-01,0.525912127002403
2006-11-01,0.5292964524994342
2006-12-01,0.5326497974524644
2007-01-01,0.6838153942214437
2007-02-01,0.6717952149082291
2007-03-01,0.6599025993437342
2007-04-01,0.6481355365101906
2007-05-01,0.6364920153898298
2007-06-01,0.6249701336685464
2007-07-01,0.6135679890322351
2007-08-01,0.6022837335186223
2007-09-01,0.5911155735172657
2007-10-01,0.5800616610658916
2007-11-01,0.6272810104918601
2007-12-01,0.6740131500995399
2008-01-01,0.6038846667178298
2008-02-01,0.6490662572741773
2008-03-01,0.6939489127568315
2008-04-01,0.7385355681646973
2008-05-01,0.782829104144849
2008-06-01,0.8268324556961916
2008-07-01,0.8705484491139672
2008-08-01,0.9139798019897554
2008-09-01,0.9571294493224609
2008-10-01,1.0
2008-11-01,0.8915665741453555
2008-12-01,0.7859506928880193
2009-01-01,0.6101142562462756
2009-02-01,0.5555680081640799
2009-03-01,0.5022021731601524
2009-04-01,0.44997886800788145
2009-05-01,0.3988617313319395
2009-06-01,0.34881603231194647
2009-07-01,0.2998084532751435
2009-08-01,0.2518069809927297
2009-09-01,0.2047809610316934
2009-10-01,0.15870093469931806
2009-11-01,0.1931090682552475
2009-12-01,0.22780939725775443
2010-01-01,0.29430810227101517
2010-02-01,0.3320046846930676
2010-03-01,0.36957604049515824
2010-04-01,0.4070227675474345
2010-05-01,0.4443455180718753
2010-06-01,0.481544889938628
2010-07-01,0.5186214810178402
2010-08-01,0.5555759435314906
2010-09-01,0.5924088209978953
2010-10-01,0.6291207112872013
2010-11-01,0.6090776037625382
2010-12-01,0.5891187415768249
2011-01-01,0.5423802428048501
2011-02-01,0.5001697407700263
2011-03-01,0.44577899327798287
2011-04-01,0.4497798316006332
2011-05-01,0.3840202027932058
2011-06-01,0.36960462955856965
2011-07-01,0.3803555849007133
2011-08-01,0.39093473410323065
2011-09-01,0.38294224291746715
2011-10-01,0.3507281297469531
2011-11-01,0.3945930471832598
2011-12-01,0.4019573942514459
2012-01-01,0.40093503629941424
2012-02-01,0.42518937808677637
2012-03-01,0.4622800462903679
2012-04-01,0.41106273918882286
2012-05-01,0.43016170104709894
2012-06-01,0.42873132389539137
2012-07-01,0.3841580933899259
2012-08-01,0.3701955426715142
2012-09-01,0.38663816746495017
2012-10-01,0.43333704375170257
2012-11-01,0.41994665476434023
2012-12-01,0.4316606702102611
2013-01-01,0.5861600996247333
2013-02-01,0.5446897608323743
2013-03-01,0.5234873287400963
2013-04-01,0.5513639483431496
2013-05-01,0.540213289631562
2013-06-01,0.5136021437232005
2013-07-01,0.5375922269054175
2013-08-01,0.4941182621936703
2013-09-01,0.47137446650959713
2013-10-01,0.41203031049462124
2013-11-01,0.39399832944210456
2013-12-01,0.3609552964881542
2014-01-01,0.2589369086113085
2014-02-01,0.26083188521936723
2014-03-01,0.23158054474014497
2014-04-01,0.24231013981247748
2014-05-01,0.2488255656232057
2014-06-01,0.24818970354554387
2014-07-01,0.23274128245538095
2014-08-01,0.25176773897032845
2014-09-01,0.2513410227405889
2014-10-01,0.2542071035234988
2014-11-01,0.2466863318840236
2014-12-01,0.2561607801096646
2015-01-01,0.22381638559885175
2015-02-01,0.20609469915282885
2015-03-01,0.22982416530261685
2015-04-01,0.21686244921093098
2015-05-01,0.2277712966238164
2015-06-01,0.22544878850854444
2015-07-01,0.21215726550282726
2015-08-01,0.19895998857307093
2015-09-01,0.19882481556792989
2015-10-01,0.20559036850759219
2015-11-01,0.17056697221817
2015-12-01,0.18301810720398742
2016-01-01,0.1858831009502657
2016-02-01,0.18251513535454025
2016-03-01,0.14773371341931504
2016-04-01,0.13309154739881918
2016-05-01,0.09119405756206816
2016-06-01,0.10424670426798845
2016-07-01,0.10488550134455561
2016-08-01,0.08119353795855826
2016-09-01,0.07606691014837834
2016-10-01,0.05208998010940373
2016-11-01,0.05690778081254251
2016-12-01,0.019619652404818555
2017-01-01,0.0
2017-02-01,0.058897112200225185
2017-03-01,0.09605023065830287
2017-04-01,0.12420371849142796
2017-05-01,0.14575128471424306
2017-06-01,0.14754815626629875
2017-07-01,0.1412707914778937
2017-08-01,0.1601466390675313
2017-09-01,0.15677035764157402
2017-10-01,0.15614862704012317
2017-11-01,0.1629774455117453
2017-12-01,0.20188705211101426
2018-01-01,0.5468398649378726
2018-02-01,0.5312598037116213
2018-03-01,0.49767412207117
2018-04-01,0.4763932059340894
2018-05-01,0.4586493982926133
2018-06-01,0.4901109016512304
2018-07-01,0.5287646741792492
2018-08-01,0.5287646741792492
2018-09-01,0.5469547103580025
2018-10-01,0.5572446534646792
2018-11-01,0.5879951261625584
2018-12-01,0.5548661629628792
2019-01-01,0.28625479138571297
2019-02-01,0.25586211679512905
2019-03-01,0.28804764090223167
2019-04-01,0.2690910808426969
2019-05-01,0.31471699762221605
2019-06-01,0.27482117703891656
2019-07-01,0.2362380075401209
2019-08-01,0.278480359748251
